,count_0,count_1,log_prob_0,log_prob_1
accounting,3.0,11.0,-9.1800186120703,-8.777989794174086
accounts,1.0,5.0,-10.278630900671743,-9.566447154527449
accredited,2.0,3.0,-9.585483720161799,-10.077272778280106
achieve,39.0,41.0,-6.615069254639533,-7.4623130002748015
achieved,28.0,18.0,-6.946426390592968,-8.285513309079828
achievement,18.0,19.0,-7.388259142870023,-8.231446087809845
achievements,5.0,8.0,-8.669192988317644,-9.096443525289212
achieving,7.0,9.0,-8.332720751702144,-8.978660489634217
acknowledge,0.0,8.0,-33.3044818307122,-9.096443525289212
acquire,4.0,3.0,-8.892336539626852,-10.077272778280106
acquired,2.0,5.0,-9.585483720161799,-9.566447154527449
acquiring,3.0,2.0,-9.1800186120703,-10.482737886371604
acquisition,7.0,3.0,-8.332720751702144,-10.077272778280106
acted,4.0,3.0,-8.892336539626852,-10.077272778280106
acting,4.0,6.0,-8.892336539626852,-9.384125597736826
action,50.0,42.0,-6.3666078953415965,-7.438215448695799
actions,5.0,12.0,-8.669192988317644,-8.690978417185214
active,14.0,9.0,-7.6395735711493415,-8.978660489634217
actively,11.0,1.0,-7.880735627964281,-11.175885066881548
activities,54.0,31.0,-6.289646854205617,-7.741897862493176
activity,12.0,12.0,-7.793724250975409,-8.690978417185214
acts,9.0,5.0,-8.081406323424412,-9.566447154527449
actual,11.0,4.0,-7.880735627964281,-9.789590705836657
adapt,0.0,8.0,-33.3044818307122,-9.096443525289212
add,6.0,23.0,-8.486871431527021,-8.040390851048052
addition,24.0,14.0,-7.1005770704196305,-8.536827737359147
additional,43.0,14.0,-6.517430785075855,-8.536827737359147
address,12.0,95.0,-7.793724250975409,-6.622008175379955
addressed,4.0,10.0,-8.892336539626852,-8.873299973977502
addressing,1.0,19.0,-10.278630900671743,-8.231446087809845
adequate,40.0,13.0,-6.589751446655306,-8.610935709512319
adequately,8.0,4.0,-8.199189359079407,-9.789590705836657
adhikain,0.0,7.0,-33.3044818307122,-9.22997491791195
adjust,5.0,4.0,-8.669192988317644,-9.789590705836657
adjustment,13.0,2.0,-7.713681543302513,-10.482737886371604
adjustments,5.0,4.0,-8.669192988317644,-9.789590705836657
administrasyon,0.0,36.0,-33.3044818307122,-7.592366128522661
administration,134.0,120.0,-5.380791100820086,-6.3883933241986695
administrations,4.0,9.0,-8.892336539626852,-8.978660489634217
administrative,25.0,13.0,-7.059755075899543,-8.610935709512319
admit,1.0,8.0,-10.278630900671743,-9.096443525289212
adopt,9.0,7.0,-8.081406323424412,-9.22997491791195
adopting,3.0,4.0,-9.1800186120703,-9.789590705836657
adoption,13.0,5.0,-7.713681543302513,-9.566447154527449
advance,16.0,16.0,-7.506042178525712,-8.403296344735518
advanced,9.0,9.0,-8.081406323424412,-8.978660489634217
advancement,4.0,3.0,-8.892336539626852,-10.077272778280106
advances,4.0,5.0,-8.892336539626852,-9.566447154527449
advantage,9.0,22.0,-8.081406323424412,-8.084842613618687
advice,3.0,6.0,-9.1800186120703,-9.384125597736826
advisability,5.0,0.0,-8.669192988317644,-34.201735996922004
affairs,24.0,13.0,-7.1005770704196305,-8.610935709512319
affect,4.0,6.0,-8.892336539626852,-9.384125597736826
afford,15.0,15.0,-7.570580699662866,-8.467834865872671
affordable,0.0,13.0,-33.3044818307122,-8.610935709512319
afp,0.0,30.0,-33.3044818307122,-7.77468768531606
afraid,1.0,6.0,-10.278630900671743,-9.384125597736826
afternoon,2.0,5.0,-9.585483720161799,-9.566447154527449
agad,0.0,30.0,-33.3044818307122,-7.77468768531606
age,15.0,24.0,-7.570580699662866,-7.997831236629436
agencies,38.0,67.0,-6.641044741042726,-6.97119244758909
agency,13.0,32.0,-7.713681543302513,-7.710149164178697
agenda,1.0,61.0,-10.278630900671743,-7.0650112028065974
agents,3.0,3.0,-9.1800186120703,-10.077272778280106
aggravated,4.0,3.0,-8.892336539626852,-10.077272778280106
aggression,8.0,1.0,-8.199189359079407,-11.175885066881548
aggressive,2.0,4.0,-9.585483720161799,-9.789590705836657
agno,4.0,4.0,-8.892336539626852,-9.789590705836657
agrarian,4.0,53.0,-8.892336539626852,-7.2055931534275395
agree,1.0,17.0,-10.278630900671743,-8.34267172291945
agreed,2.0,5.0,-9.585483720161799,-9.566447154527449
agreement,24.0,17.0,-7.1005770704196305,-8.34267172291945
agreements,8.0,8.0,-8.199189359079407,-9.096443525289212
agricultural,82.0,37.0,-5.87191165350627,-7.564967154334621
agriculture,22.0,50.0,-7.187588447408881,-7.263862061551402
agrikultura,0.0,21.0,-33.3044818307122,-8.131362629253363
agusan,4.0,5.0,-8.892336539626852,-9.566447154527449
ahensya,0.0,23.0,-33.3044818307122,-8.040390851048052
aid,31.0,12.0,-6.844643696283371,-8.690978417185214
aim,10.0,23.0,-7.976045807767697,-8.040390851048052
aimed,7.0,8.0,-8.332720751702144,-9.096443525289212
aims,6.0,10.0,-8.486871431527021,-8.873299973977502
air,10.0,40.0,-7.976045807767697,-7.4870056128651115
airline,3.0,2.0,-9.1800186120703,-10.482737886371604
airlines,0.0,7.0,-33.3044818307122,-9.22997491791195
airport,2.0,55.0,-9.585483720161799,-7.168551881747259
airports,2.0,18.0,-9.585483720161799,-8.285513309079828
akala,0.0,16.0,-33.3044818307122,-8.403296344735518
aklat,0.0,8.0,-33.3044818307122,-9.096443525289212
akong,0.0,80.0,-33.3044818307122,-6.793858432306417
alagaan,0.0,7.0,-33.3044818307122,-9.22997491791195
alam,0.0,136.0,-33.3044818307122,-6.2632301812447615
alien,3.0,5.0,-9.1800186120703,-9.566447154527449
alleviate,0.0,6.0,-33.3044818307122,-9.384125597736826
alleviation,5.0,13.0,-8.669192988317644,-8.610935709512319
allies,2.0,5.0,-9.585483720161799,-9.566447154527449
allocated,7.0,1.0,-8.332720751702144,-11.175885066881548
allocation,15.0,4.0,-7.570580699662866,-9.789590705836657
allowance,1.0,5.0,-10.278630900671743,-9.566447154527449
allowed,9.0,16.0,-8.081406323424412,-8.403296344735518
allowing,2.0,10.0,-9.585483720161799,-8.873299973977502
alternative,3.0,14.0,-9.1800186120703,-8.536827737359147
alvarez,0.0,9.0,-33.3044818307122,-8.978660489634217
ama,0.0,10.0,-33.3044818307122,-8.873299973977502
ambassador,3.0,7.0,-9.1800186120703,-9.22997491791195
ambition,4.0,5.0,-8.892336539626852,-9.566447154527449
ambitious,2.0,4.0,-9.585483720161799,-9.789590705836657
ambuklao,8.0,0.0,-8.199189359079407,-34.201735996922004
amelioration,15.0,4.0,-7.570580699662866,-9.789590705836657
amend,9.0,15.0,-8.081406323424412,-8.467834865872671
amended,3.0,5.0,-9.1800186120703,-9.566447154527449
amendment,9.0,4.0,-8.081406323424412,-9.789590705836657
amendments,3.0,12.0,-9.1800186120703,-8.690978417185214
america,14.0,33.0,-7.6395735711493415,-7.679377505512038
american,24.0,13.0,-7.1005770704196305,-8.610935709512319
amnesty,5.0,15.0,-8.669192988317644,-8.467834865872671
amortization,2.0,5.0,-9.585483720161799,-9.566447154527449
amounted,21.0,2.0,-7.234108463043558,-10.482737886371604
amounting,13.0,3.0,-7.713681543302513,-10.077272778280106
amounts,6.0,3.0,-8.486871431527021,-10.077272778280106
anak,0.0,32.0,-33.3044818307122,-7.710149164178697
analysis,5.0,3.0,-8.669192988317644,-10.077272778280106
anarchy,0.0,7.0,-33.3044818307122,-9.22997491791195
ancestral,0.0,14.0,-33.3044818307122,-8.536827737359147
anchored,1.0,8.0,-10.278630900671743,-9.096443525289212
anew,1.0,4.0,-10.278630900671743,-9.789590705836657
angat,0.0,20.0,-33.3044818307122,-8.180152793422558
angkat,0.0,8.0,-33.3044818307122,-9.096443525289212
ani,0.0,15.0,-33.3044818307122,-8.467834865872671
anim,0.0,28.0,-33.3044818307122,-7.843680556802774
annex,3.0,2.0,-9.1800186120703,-10.482737886371604
announced,5.0,1.0,-8.669192988317644,-11.175885066881548
annual,11.0,7.0,-7.880735627964281,-9.22997491791195
annually,11.0,3.0,-7.880735627964281,-10.077272778280106
anong,0.0,25.0,-33.3044818307122,-7.957009242109348
answer,1.0,21.0,-10.278630900671743,-8.131362629253363
answers,0.0,5.0,-33.3044818307122,-9.566447154527449
antas,0.0,10.0,-33.3044818307122,-8.873299973977502
anti,11.0,50.0,-7.880735627964281,-7.263862061551402
anticipate,5.0,3.0,-8.669192988317644,-10.077272778280106
anticipated,3.0,2.0,-9.1800186120703,-10.482737886371604
anticipation,3.0,3.0,-9.1800186120703,-10.077272778280106
apec,0.0,11.0,-33.3044818307122,-8.777989794174086
appeal,4.0,10.0,-8.892336539626852,-8.873299973977502
application,9.0,8.0,-8.081406323424412,-9.096443525289212
applications,4.0,5.0,-8.892336539626852,-9.566447154527449
applied,2.0,5.0,-9.585483720161799,-9.566447154527449
apply,2.0,8.0,-9.585483720161799,-9.096443525289212
appointed,2.0,7.0,-9.585483720161799,-9.22997491791195
appointments,4.0,3.0,-8.892336539626852,-10.077272778280106
appraisal,6.0,0.0,-8.486871431527021,-34.201735996922004
appreciation,5.0,5.0,-8.669192988317644,-9.566447154527449
apprehension,4.0,2.0,-8.892336539626852,-10.482737886371604
approach,10.0,24.0,-7.976045807767697,-7.997831236629436
appropriation,10.0,2.0,-7.976045807767697,-10.482737886371604
appropriations,7.0,4.0,-8.332720751702144,-9.789590705836657
approval,17.0,4.0,-7.445417556709645,-9.789590705836657
approve,5.0,4.0,-8.669192988317644,-9.789590705836657
approved,10.0,14.0,-7.976045807767697,-8.536827737359147
april,5.0,4.0,-8.669192988317644,-9.789590705836657
aquino,0.0,22.0,-33.3044818307122,-8.084842613618687
aral,0.0,13.0,-33.3044818307122,-8.610935709512319
aralan,0.0,17.0,-33.3044818307122,-8.34267172291945
araw,0.0,81.0,-33.3044818307122,-6.781435912307875
archbishop,0.0,10.0,-33.3044818307122,-8.873299973977502
archipelago,4.0,7.0,-8.892336539626852,-9.22997491791195
ari,0.0,11.0,-33.3044818307122,-8.777989794174086
arising,4.0,2.0,-8.892336539626852,-10.482737886371604
arm,2.0,6.0,-9.585483720161799,-9.384125597736826
armas,0.0,8.0,-33.3044818307122,-9.096443525289212
armed,27.0,67.0,-6.98279403476371,-6.97119244758909
armm,0.0,30.0,-33.3044818307122,-7.77468768531606
arms,4.0,21.0,-8.892336539626852,-8.131362629253363
army,9.0,14.0,-8.081406323424412,-8.536827737359147
arrangement,3.0,6.0,-9.1800186120703,-9.384125597736826
arrangements,8.0,6.0,-8.199189359079407,-9.384125597736826
arrest,2.0,11.0,-9.585483720161799,-8.777989794174086
arrested,3.0,4.0,-9.1800186120703,-9.789590705836657
arrivals,0.0,8.0,-33.3044818307122,-9.096443525289212
arroyo,0.0,18.0,-33.3044818307122,-8.285513309079828
art,0.0,11.0,-33.3044818307122,-8.777989794174086
artesian,15.0,0.0,-7.570580699662866,-34.201735996922004
article,1.0,4.0,-10.278630900671743,-9.789590705836657
articles,8.0,0.0,-8.199189359079407,-34.201735996922004
artificial,6.0,3.0,-8.486871431527021,-10.077272778280106
asa,1.0,20.0,-10.278630900671743,-8.180152793422558
asawa,0.0,8.0,-33.3044818307122,-9.096443525289212
asean,0.0,56.0,-33.3044818307122,-7.1505333762446135
asia,21.0,65.0,-7.234108463043558,-7.001497797084372
asian,21.0,32.0,-7.234108463043558,-7.710149164178697
aspect,3.0,4.0,-9.1800186120703,-9.789590705836657
aspiration,5.0,2.0,-8.669192988317644,-10.482737886371604
aspirations,5.0,11.0,-8.669192988317644,-8.777989794174086
aspire,2.0,5.0,-9.585483720161799,-9.566447154527449
assembly,3.0,8.0,-9.1800186120703,-9.096443525289212
assert,0.0,6.0,-33.3044818307122,-9.384125597736826
assessment,2.0,6.0,-9.585483720161799,-9.384125597736826
asset,0.0,9.0,-33.3044818307122,-8.978660489634217
assets,5.0,15.0,-8.669192988317644,-8.467834865872671
assist,12.0,6.0,-7.793724250975409,-9.384125597736826
assistance,60.0,51.0,-6.184286338547976,-7.244059434255262
assisted,5.0,3.0,-8.669192988317644,-10.077272778280106
assisting,8.0,0.0,-8.199189359079407,-34.201735996922004
associate,0.0,5.0,-33.3044818307122,-9.566447154527449
associations,8.0,4.0,-8.199189359079407,-9.789590705836657
assume,5.0,2.0,-8.669192988317644,-10.482737886371604
assumed,7.0,5.0,-8.332720751702144,-9.566447154527449
assurance,3.0,4.0,-9.1800186120703,-9.789590705836657
assure,18.0,31.0,-7.388259142870023,-7.741897862493176
assured,8.0,4.0,-8.199189359079407,-9.789590705836657
atmosphere,11.0,1.0,-7.880735627964281,-11.175885066881548
atomic,3.0,2.0,-9.1800186120703,-10.482737886371604
attack,2.0,10.0,-9.585483720161799,-8.873299973977502
attacks,1.0,6.0,-10.278630900671743,-9.384125597736826
attain,18.0,9.0,-7.388259142870023,-8.978660489634217
attained,15.0,7.0,-7.570580699662866,-9.22997491791195
attainment,16.0,3.0,-7.506042178525712,-10.077272778280106
attempt,3.0,5.0,-9.1800186120703,-9.566447154527449
attend,2.0,4.0,-9.585483720161799,-9.789590705836657
attention,16.0,15.0,-7.506042178525712,-8.467834865872671
attitude,10.0,6.0,-7.976045807767697,-9.384125597736826
attract,5.0,8.0,-8.669192988317644,-9.096443525289212
attractive,3.0,5.0,-9.1800186120703,-9.566447154527449
augment,3.0,2.0,-9.1800186120703,-10.482737886371604
augmented,6.0,2.0,-8.486871431527021,-10.482737886371604
august,3.0,9.0,-9.1800186120703,-8.978660489634217
authorities,7.0,6.0,-8.332720751702144,-9.384125597736826
authority,35.0,59.0,-6.723282839279472,-7.098347623074134
authorized,12.0,3.0,-7.793724250975409,-10.077272778280106
authorizing,4.0,2.0,-8.892336539626852,-10.482737886371604
autonomous,0.0,18.0,-33.3044818307122,-8.285513309079828
autonomy,2.0,15.0,-9.585483720161799,-8.467834865872671
avail,3.0,4.0,-9.1800186120703,-9.789590705836657
availability,4.0,5.0,-8.892336539626852,-9.566447154527449
availed,3.0,4.0,-9.1800186120703,-9.789590705836657
average,18.0,28.0,-7.388259142870023,-7.843680556802774
aviation,1.0,22.0,-10.278630900671743,-8.084842613618687
avoid,6.0,9.0,-8.486871431527021,-8.978660489634217
avoided,5.0,2.0,-8.669192988317644,-10.482737886371604
awaited,1.0,7.0,-10.278630900671743,-9.22997491791195
awaiting,5.0,1.0,-8.669192988317644,-11.175885066881548
award,1.0,9.0,-10.278630900671743,-8.978660489634217
awarded,1.0,5.0,-10.278630900671743,-9.566447154527449
aware,11.0,9.0,-7.880735627964281,-8.978660489634217
ayan,0.0,6.0,-33.3044818307122,-9.384125597736826
ayaw,0.0,48.0,-33.3044818307122,-7.304684056071574
ayon,0.0,45.0,-33.3044818307122,-7.3692225772090065
ayos,0.0,5.0,-33.3044818307122,-9.566447154527449
ayusin,0.0,9.0,-33.3044818307122,-8.978660489634217
babae,0.0,11.0,-33.3044818307122,-8.777989794174086
babalik,0.0,8.0,-33.3044818307122,-9.096443525289212
babes,0.0,7.0,-33.3044818307122,-9.22997491791195
backbone,0.0,7.0,-33.3044818307122,-9.22997491791195
backlog,1.0,11.0,-10.278630900671743,-8.777989794174086
bad,1.0,14.0,-10.278630900671743,-8.536827737359147
bagay,0.0,13.0,-33.3044818307122,-8.610935709512319
bagong,0.0,76.0,-33.3044818307122,-6.845151726693902
baguhin,0.0,5.0,-33.3044818307122,-9.566447154527449
baguio,5.0,10.0,-8.669192988317644,-8.873299973977502
bagyo,0.0,23.0,-33.3044818307122,-8.040390851048052
baha,0.0,11.0,-33.3044818307122,-8.777989794174086
bahagi,0.0,31.0,-33.3044818307122,-7.741897862493176
bahala,0.0,13.0,-33.3044818307122,-8.610935709512319
bahay,0.0,28.0,-33.3044818307122,-7.843680556802774
baka,0.0,47.0,-33.3044818307122,-7.325737465269363
balance,16.0,19.0,-7.506042178525712,-8.231446087809845
balanced,11.0,6.0,-7.880735627964281,-9.384125597736826
balik,0.0,13.0,-33.3044818307122,-8.610935709512319
balita,0.0,10.0,-33.3044818307122,-8.873299973977502
ban,1.0,7.0,-10.278630900671743,-9.22997491791195
banda,0.0,7.0,-33.3044818307122,-9.22997491791195
bang,0.0,28.0,-33.3044818307122,-7.843680556802774
bangko,0.0,19.0,-33.3044818307122,-8.231446087809845
bangsamoro,0.0,21.0,-33.3044818307122,-8.131362629253363
banish,2.0,3.0,-9.585483720161799,-10.077272778280106
bank,75.0,45.0,-5.961142787234099,-7.3692225772090065
banking,9.0,11.0,-8.081406323424412,-8.777989794174086
banks,25.0,15.0,-7.059755075899543,-8.467834865872671
bansa,0.0,147.0,-33.3044818307122,-6.185452480202132
bansang,0.0,8.0,-33.3044818307122,-9.096443525289212
bantay,1.0,6.0,-10.278630900671743,-9.384125597736826
barangay,1.0,67.0,-10.278630900671743,-6.97119244758909
barangays,0.0,21.0,-33.3044818307122,-8.131362629253363
barely,2.0,4.0,-9.585483720161799,-9.789590705836657
bargaining,6.0,0.0,-8.486871431527021,-34.201735996922004
baril,0.0,25.0,-33.3044818307122,-7.957009242109348
barko,0.0,15.0,-33.3044818307122,-8.467834865872671
barkong,0.0,10.0,-33.3044818307122,-8.873299973977502
barriers,1.0,9.0,-10.278630900671743,-8.978660489634217
barrio,14.0,8.0,-7.6395735711493415,-9.096443525289212
barrios,23.0,2.0,-7.143136684838246,-10.482737886371604
bars,0.0,5.0,-33.3044818307122,-9.566447154527449
base,16.0,22.0,-7.506042178525712,-8.084842613618687
based,9.0,32.0,-8.081406323424412,-7.710149164178697
bases,5.0,10.0,-8.669192988317644,-8.873299973977502
basic,55.0,85.0,-6.271297715537454,-6.733233810490056
basilan,0.0,6.0,-33.3044818307122,-9.384125597736826
basis,52.0,13.0,-6.327387182188392,-8.610935709512319
basta,0.0,21.0,-33.3044818307122,-8.131362629253363
bata,0.0,21.0,-33.3044818307122,-8.131362629253363
bataan,6.0,2.0,-8.486871431527021,-10.482737886371604
batanes,0.0,6.0,-33.3044818307122,-9.384125597736826
batang,0.0,10.0,-33.3044818307122,-8.873299973977502
batangas,0.0,11.0,-33.3044818307122,-8.777989794174086
batas,0.0,69.0,-33.3044818307122,-6.94177856238284
batasang,0.0,35.0,-33.3044818307122,-7.620537005489277
batid,0.0,13.0,-33.3044818307122,-8.610935709512319
batikos,0.0,5.0,-33.3044818307122,-9.566447154527449
bato,0.0,6.0,-33.3044818307122,-9.384125597736826
battle,2.0,15.0,-9.585483720161799,-8.467834865872671
bawal,0.0,9.0,-33.3044818307122,-8.978660489634217
bay,1.0,9.0,-10.278630900671743,-8.978660489634217
bayan,0.0,105.0,-33.3044818307122,-6.521924716823072
bayaran,0.0,7.0,-33.3044818307122,-9.22997491791195
bear,11.0,21.0,-7.880735627964281,-8.131362629253363
beautiful,1.0,7.0,-10.278630900671743,-9.22997491791195
beauty,0.0,6.0,-33.3044818307122,-9.384125597736826
begun,8.0,9.0,-8.199189359079407,-8.978660489634217
behalf,4.0,8.0,-8.892336539626852,-9.096443525289212
belief,3.0,6.0,-9.1800186120703,-9.384125597736826
beliefs,0.0,5.0,-33.3044818307122,-9.566447154527449
believed,1.0,13.0,-10.278630900671743,-8.610935709512319
bell,6.0,3.0,-8.486871431527021,-10.077272778280106
belmonte,0.0,10.0,-33.3044818307122,-8.873299973977502
belong,2.0,5.0,-9.585483720161799,-9.566447154527449
beneficial,5.0,5.0,-8.669192988317644,-9.566447154527449
beneficiaries,5.0,19.0,-8.669192988317644,-8.231446087809845
beneficiary,0.0,14.0,-33.3044818307122,-8.536827737359147
benefit,12.0,29.0,-7.793724250975409,-7.808589236991626
benefited,0.0,10.0,-33.3044818307122,-8.873299973977502
benefits,30.0,28.0,-6.877433519106255,-7.843680556802774
benepisyaryo,0.0,23.0,-33.3044818307122,-8.040390851048052
benepisyo,0.0,17.0,-33.3044818307122,-8.34267172291945
benigno,0.0,9.0,-33.3044818307122,-8.978660489634217
beses,0.0,15.0,-33.3044818307122,-8.467834865872671
bibigyan,0.0,7.0,-33.3044818307122,-9.22997491791195
bicol,0.0,18.0,-33.3044818307122,-8.285513309079828
bidding,2.0,21.0,-9.585483720161799,-8.131362629253363
bigas,0.0,35.0,-33.3044818307122,-7.620537005489277
biggest,1.0,15.0,-10.278630900671743,-8.467834865872671
bigyan,0.0,26.0,-33.3044818307122,-7.917788528956221
biktima,0.0,12.0,-33.3044818307122,-8.690978417185214
bilateral,5.0,13.0,-8.669192988317644,-8.610935709512319
bilhin,0.0,9.0,-33.3044818307122,-8.978660489634217
bilihin,0.0,7.0,-33.3044818307122,-9.22997491791195
billing,0.0,5.0,-33.3044818307122,-9.566447154527449
billions,0.0,24.0,-33.3044818307122,-7.997831236629436
bills,9.0,35.0,-8.081406323424412,-7.620537005489277
bilyon,0.0,21.0,-33.3044818307122,-8.131362629253363
bilyong,0.0,38.0,-33.3044818307122,-7.538298907252531
binabayaran,0.0,7.0,-33.3044818307122,-9.22997491791195
binay,0.0,6.0,-33.3044818307122,-9.384125597736826
binibigyan,0.0,5.0,-33.3044818307122,-9.566447154527449
binigyan,0.0,10.0,-33.3044818307122,-8.873299973977502
bir,0.0,21.0,-33.3044818307122,-8.131362629253363
birth,4.0,9.0,-8.892336539626852,-8.978660489634217
bise,0.0,6.0,-33.3044818307122,-9.384125597736826
bit,0.0,9.0,-33.3044818307122,-8.978660489634217
bitter,4.0,3.0,-8.892336539626852,-10.077272778280106
biyahe,0.0,13.0,-33.3044818307122,-8.610935709512319
blame,1.0,5.0,-10.278630900671743,-9.566447154527449
blessings,3.0,5.0,-9.1800186120703,-9.566447154527449
block,0.0,5.0,-33.3044818307122,-9.566447154527449
blood,2.0,12.0,-9.585483720161799,-8.690978417185214
blow,1.0,5.0,-10.278630900671743,-9.566447154527449
blueprint,3.0,3.0,-9.1800186120703,-10.077272778280106
board,18.0,23.0,-7.388259142870023,-8.040390851048052
body,6.0,7.0,-8.486871431527021,-9.22997491791195
bohol,3.0,14.0,-9.1800186120703,-8.536827737359147
bold,3.0,4.0,-9.1800186120703,-9.789590705836657
bolster,11.0,2.0,-7.880735627964281,-10.482737886371604
bond,9.0,4.0,-8.081406323424412,-9.789590705836657
bonds,6.0,5.0,-8.486871431527021,-9.566447154527449
bong,0.0,18.0,-33.3044818307122,-8.285513309079828
bonifacio,1.0,7.0,-10.278630900671743,-9.22997491791195
bonus,0.0,14.0,-33.3044818307122,-8.536827737359147
books,3.0,6.0,-9.1800186120703,-9.384125597736826
boost,2.0,14.0,-9.585483720161799,-8.536827737359147
boracay,0.0,20.0,-33.3044818307122,-8.180152793422558
born,4.0,5.0,-8.892336539626852,-9.566447154527449
borne,2.0,5.0,-9.585483720161799,-9.566447154527449
borrow,2.0,5.0,-9.585483720161799,-9.566447154527449
borrowed,2.0,3.0,-9.585483720161799,-10.077272778280106
borrowing,10.0,3.0,-7.976045807767697,-10.077272778280106
boss,0.0,43.0,-33.3044818307122,-7.41468495128566
bot,0.0,6.0,-33.3044818307122,-9.384125597736826
bottlenecks,1.0,6.0,-10.278630900671743,-9.384125597736826
bound,2.0,5.0,-9.585483720161799,-9.566447154527449
boy,0.0,11.0,-33.3044818307122,-8.777989794174086
bpo,0.0,13.0,-33.3044818307122,-8.610935709512319
branch,3.0,16.0,-9.1800186120703,-8.403296344735518
branches,6.0,5.0,-8.486871431527021,-9.566447154527449
brand,0.0,12.0,-33.3044818307122,-8.690978417185214
break,3.0,11.0,-9.1800186120703,-8.777989794174086
breaks,0.0,5.0,-33.3044818307122,-9.566447154527449
bridge,14.0,19.0,-7.6395735711493415,-8.231446087809845
bridges,20.0,12.0,-7.282898627212752,-8.690978417185214
bright,4.0,7.0,-8.892336539626852,-9.22997491791195
bring,29.0,71.0,-6.911335070781821,-6.913205189938824
bringing,8.0,17.0,-8.199189359079407,-8.34267172291945
brings,2.0,11.0,-9.585483720161799,-8.777989794174086
broad,1.0,8.0,-10.278630900671743,-9.096443525289212
broaden,2.0,6.0,-9.585483720161799,-9.384125597736826
broken,3.0,8.0,-9.1800186120703,-9.096443525289212
brother,1.0,8.0,-10.278630900671743,-9.096443525289212
brothers,2.0,17.0,-9.585483720161799,-8.34267172291945
brought,22.0,37.0,-7.187588447408881,-7.564967154334621
brown,0.0,5.0,-33.3044818307122,-9.566447154527449
budget,16.0,111.0,-7.506042178525712,-6.466354865668313
budgetary,5.0,1.0,-8.669192988317644,-11.175885066881548
budgets,1.0,5.0,-10.278630900671743,-9.566447154527449
buhay,0.0,63.0,-33.3044818307122,-7.032750340588429
build,12.0,81.0,-7.793724250975409,-6.781435912307875
building,25.0,53.0,-7.059755075899543,-7.2055931534275395
buildings,16.0,7.0,-7.506042178525712,-9.22997491791195
built,10.0,30.0,-7.976045807767697,-7.77468768531606
bukas,0.0,25.0,-33.3044818307122,-7.957009242109348
bukidnon,4.0,4.0,-8.892336539626852,-9.789590705836657
bukod,0.0,17.0,-33.3044818307122,-8.34267172291945
bulacan,6.0,4.0,-8.486871431527021,-9.789590705836657
bulk,3.0,4.0,-9.1800186120703,-9.789590705836657
bumaba,0.0,30.0,-33.3044818307122,-7.77468768531606
bumalik,0.0,10.0,-33.3044818307122,-8.873299973977502
bunga,0.0,13.0,-33.3044818307122,-8.610935709512319
buo,0.0,10.0,-33.3044818307122,-8.873299973977502
buong,0.0,71.0,-33.3044818307122,-6.913205189938824
burden,8.0,26.0,-8.199189359079407,-7.917788528956221
bureau,28.0,29.0,-6.946426390592968,-7.808589236991626
bureaucracy,0.0,28.0,-33.3044818307122,-7.843680556802774
bureaucratic,0.0,6.0,-33.3044818307122,-9.384125597736826
bus,0.0,9.0,-33.3044818307122,-8.978660489634217
business,32.0,108.0,-6.8128949979688915,-6.493753839856403
businesses,1.0,18.0,-10.278630900671743,-8.285513309079828
businessmen,7.0,6.0,-8.332720751702144,-9.384125597736826
busy,1.0,5.0,-10.278630900671743,-9.566447154527449
